HCPCS Code,Short Descriptor,APC,Payment Rate
0333U,Onc lvr surveilanc hcc cfdna,,
0334U,Onc sld orgn tgsa dna 84/+,,
0335T,Insj sinus tarsi implant,5114,"$6,816.33 "
0335U,Rare ds whl gen seq feta,,
0336U,Rare ds whl gen seq bld/slv,,
0337U,Onc plsm cell do&myeloma id,,
0338T,Trnscth renal symp denrv unl,5192,"$5,445.84 "
0338U,Onc sld tum crcg tum cl slct,,
0339T,Trnscth renal symp denrv bil,5192,"$5,445.84 "
0339U,Onc prst8 mrna hoxc6 & dlx1,,
0340U,Onc pan ca alys mrd plasma,,
0341U,Ftl aneup dna seq cmpr alys ,,
0342T,Thxp apheresis w/hdl delip,5243,"$4,409.34 "
0342U,Onc pncrtc ca mult ia eclia,,
0343U,Onc prst8 xom aly 442 sncrna,,
0344U,Hep nafld semiq evl 28 lipid,,
0345T,Transcath mtral vlve repair,,
0345U,Psyc genom alys pnl 15 gen,,
0346U,Beta amyl ab40&ab42 lc-ms/ms,,
0347T,Ins bone device for rsa,5733,$58.28 
0347U,Rx metab/pcx dna 16 gen alys,,
0348T,Rsa spine exam,5522,$104.75 
0348U,Rx metab/pcx dna 25 gen alys,,
0349T,Rsa upper extr exam,5522,$104.75 
0349U,Rx metab/pcx dna 27gen rx ia,,
0350T,Rsa lower extr exam,5521,$86.58 
0350U,Rx metab/pcx dna 27 gen alys,,
0351T,Intraop oct brst/node spec,,
0351U,Nfct ds bct/viral trail ip10,,
0352T,Oct brst/node i&r per spec,,
0352U,Nfct ds bv&vaginitis amp prb,,
0353T,Intraop oct breast cavity,,
0353U,Iadna chlmyd&gonorr amp prb,,
0354T,Oct breast surg cavity i&r,,
0354U,Hpv hi rsk qual mrna e6/e7,,
0355U,Apol1 risk variants,,
0356U,Onc orop/anal 17 dna ddpcr,,
0358T,Bia whole body,5731,$28.37 
0358U,Neuro alys b-amyl 1-42&1-40,,
0359U,Onc prst8 ca alys all psa,,
0360U,Onc lung elisa 7 autoant alg,,
0361U,Neurflmnt lt chn dig ia quan,,
0362T,Bhv id suprt assmt ea 15 min,5821,$27.34 
0362U,Onc pap thyr ca rna 82&10,,
0363U,Onc urthl mrna 5 gen alg,,
0364U,Onc hl neo gen seq alys alg,,
0365U,Onc bldr 10 prb bldr ca,,
0366U,Onc bldr 10 prb recr bldr ca,,
0367U,Onc bldr 10 flwg trurl rescj,,
0368U,Onc clrct ca mut&mthyltn mrk,,
0369U,Iadna gi pthgn 31 org&21 arg,,
0370U,Iadna surg wnd pthgn 34&21,,
0371U,Iadna gu pthgn semiq dna16&1,,
0372U,Nfct ds gu pthgn arg detcj,,
0373T,Adapt bhv tx ea 15 min,5821,$27.34 
0373U,Iadna rsp tr nfct 17 8 13&16,,
0374U,Iadna gu pthgn 21 org&21arg,,
0375U,Onc ovrn bchm asy 7 prtn alg,,
0376U,Onc prst8 ca img alys 128,,
0377U,Cv ds quan advsrm/plsm lprtn,,
0378T,Visual field assmnt rev/rprt,,
0378U,Rfc1 repeat xpnsj vrnt alys,,
0379T,Vis field assmnt tech suppt,5732,$38.21 
0379U,Tgsap sl or neo dna523&rna55,,
0380U,Rx metb advrs trgt sq aly 20,,
0381U,Maple syrup ur ds mntr quan,,
0382U,Hyprphenylalninmia mntr quan,,
0383U,Tyrosinemia typ i mntr quan,,
0384U,Neph ckd rsk hi stg kdn ds,,
0385U,Neph ckd alg rsk dbtc kdn ds,,
0387U ,Onc mlnma ambra1&amlo,,
0388U ,Onc nonsm cll lng ca 37 gen,,
0389U ,Ped fbrl kd ifi27&mcemp1 rna,,
0390U ,Ob pe kdr eng&rbp4 ia alg,,
0391U ,Onc sld tum dna&rna 437 gen,,
0392U ,Rx metab genrx ia 16 genes,,
0393U ,Neu prksn msfl ?-syncln prtn,,
0394T,Hdr elctrnc skn surf brchytx,5622,$256.06 
0394U ,Pfas 16 pfas compnd lc ms/ms,,
0395T,Hdr elctr ntrst/ntrcv brchtx,5624,$683.13 
0395U ,Onc lng multiomics plsm alg,,
0396U,Ob preimpltj tst 300000 dna,,
0397T,Ercp w/optical endomicroscpy,,
0398T,Mrgfus strtctc les abltj,5463,"$12,978.95 "
0398U ,Gi baret esph dna mthyln aly,,
0399U ,Neuro cere folate defncy srm,,
0400U ,Ob xpnd car scr 145 genes,,
0401U ,Crd c hrt ds 9 gen 12 vrnts,,
0402T,Colgn crs-link crn&pachymtry,5503,"$2,226.48 "
0402U,Nfct agt sti mult amp prb tq,,
0403T,Diabetes prev standard curr,,
0403U ,Onc prst8 mrna 18 gen dre ur,,
0404U ,Onc brst semiq meas thym kn,,
0405U ,Onc pncrtc 59 mthltn blk mrk,,
0406U ,Onc lung flow cytmtry 5 mrk,,
0407U ,Neph dbtc ckd mult eclia alg,,
0408T,Insj/rplc cardiac modulj sys,5232,"$31,345.98 "
0408U,Iaad blk ac wv bsnsr sarscv2,,
0409T,Insj/rplc car modulj pls gn,5231,"$22,458.65 "
0409U ,Onc sld tum dna 80 & rna 36,,
0410T,Insj/rplc car modulj atr elt,5222,"$8,094.61 "
0410U ,Onc pncrtc dna whl gn seq 5-,,
0411T,Insj/rplc car modulj vnt elt,5222,"$8,094.61 "
0411U,Psyc genom alys pnl 15 gen,,
0412T,Rmvl cardiac modulj pls gen,5221,"$3,741.62 "
0412U ,Beta amyloid a?42/40 imprcip,,
0413T,Rmvl car modulj tranvns elt,5221,"$3,741.62 "
0413U ,Onc hl neo opt gen mapg dna,,
0414T,Rmvl & rpl car modulj pls gn,5231,"$22,458.65 "
0414U ,Onc lng aug alg aly whl sld8,,
0415T,Repos car modulj tranvns elt,5181,$598.55 
0415U,Cv ds acs bld alg 5 yr score,,
0416T,Reloc skin pocket pls gen,5054,"$1,737.53 "
0416U ,Iadna gu pthgn 20bct&fng org,,
0417T,Prgrmg eval cardiac modulj,5741,$35.93 
0417U ,Rare ds alys 335 nuc genes,,
0418T,Interro eval cardiac modulj,5741,$35.93 
0418U ,Onc brst aug alg aly whl sl8,,
0419T,Dstrj neurofibroma xtnsv,5053,$598.40 
0419U,Nrpsyc gen seq vrnt aly 13,,
0420T,Dstrj neurofibroma xtnsv,5053,$598.40 
0420U,Onc urthl mrna xprsn 6 snp,,
0421T,Waterjet prostate abltj cmpl,5376,"$8,777.41 "
0421U,Onc clrct scr sgl amp 8 rna,,
0422T,Tactile breast img uni/bi,5521,$86.58 
0422U,Onc pan solid tum alys dna,,
0423U,Psyc genomic alys pnl 26 gen,,
0424U,Onc prst8 xom alys 53 sncrna,,
0425U,Genom rpd seq alys ea cmprtr,,
0426U,Genome ultra-rapid seq alys,,
0427U,Monocyte dstrbj wdth whl bld,,
0428U,Onc brst ctdna alys 56/> gen,,
0429U,Hpv orop swab 14 hi-risk typ,,
0430U,Gi malabs aat calpro pncrtc,,
0431U,Gly rcptr alpha1 igg srm/csf,,
0432U,Klhl11 antb sr/csf asy qual,,
0433U,Onc prst8 5 dna reg mrk pcr,,
0434U,Rx metab advrs vrnt alys 25,,
0435U,Onc chemo rx cytox csc 14 rx,,
0436U,Onc lng plsm alys 388 prtn,,
0437T,Impltj synth rnfcmt abdl wal,,
0437U,Psyc anxiety do mrna 15 bmrk,,
0438U,Rx metab advrs vrnt alys 33,,
0439T,Myocrd contrast prfuj echo,,
0440T,Abltj perc uxtr/perph nrv,5431,"$1,839.63 "
0441T,Abltj perc lxtr/perph nrv,5431,"$1,839.63 "
0442T,Abltj perc plex/trncl nrv,5432,"$6,346.97 "
0443T,R-t spctrl alys prst8 tiss,,
0444T,1st plmt drug elut oc ins,,
0445T,Sbsqt plmt drug elut oc ins,,
0446T,Insj impltbl glucose sensor,5054,"$1,737.53 "
0447T,Rmvl impltbl glucose sensor,5051,$190.75 
0448T,Remvl insj impltbl gluc sens,5054,"$1,737.53 "
0449T,Insj aqueous drain dev 1st,5493,"$4,979.80 "
0450T,Insj aqueous drain dev each,,
0464T,Visual ep test for glaucoma,5721,$148.83 
0469T,Rta polarize scan oc scr bi,,
0472T,Prgrmg io rta eltrd ra,5743,$284.59 
0473T,Reprgrmg io rta eltrd ra,5742,$92.23 
0474T,Insj aqueous drg dev io rsvr,,
0479T,Fxjl abl lsr 1st 100 sq cm,5053,$598.40 
0480T,Fxjl abl lsr ea addl 100sqcm,,
0481T,Njx autol wbc concentrate,5735,$379.63 
0483T,Tmvi percutaneous approach,,
0484T,Tmvi transthoracic exposure,,
0485T,Oct mid ear i&r unilateral,5732,$38.21 
0486T,Oct mid ear i&r bilateral,5732,$38.21 
0488T,Diabetes prev online/elec,,
0489T,Regn cell tx scldr hands,,
0490T,Regn cell tx scldr h mlt inj,,
0494T,Prep & cannulj cdvr don lung,,
0495T,Mntr cdvr don lng 1st 2 hrs,,
0496T,Mntr cdvr don lng ea addl hr,,
0500F,Initial prenatal care visit,,
0500T,Hpv 5+ hi risk hpv types,,
0501F,Prenatal flow sheet,,
0502F,Subsequent prenatal care,,
0503F,Postpartum care visit,,
0505F,Hemodialysis plan docd,,
0505T,Ev fempop artl revsc,5193,"$10,481.81 "
0506T,Mac pgmt opt dns meas hfp,5733,$58.28 
0507F,Periton dialysis plan docd,,
0507T,Near ifr 2img mibmn glnd i&r,5733,$58.28 
0509F,Urine incon plan docd,,
0509T,Pattern erg w/i&r,5722,$299.06 
0510T,Rmvl sinus tarsi implant,5113,"$3,084.03 "
0511T,Rmvl&rinsj sinus tarsi implt,5114,"$6,816.33 "
0512T,Esw integ wnd hlg 1st wnd,5051,$190.75 
0513F,Elev bp plan of care docd,,
0513T,Esw integ wnd hlg ea addl,,
0514F,Care plan hgb docd esa pt,,
0515T,Insj wcs lv compl sys,5231,"$22,458.65 "
0516F,Anemia plan of care docd,,
0516T,Insj wcs lv eltrd only,5223,"$10,174.16 "
0517F,Glaucoma plan of care docd,,
0517T,Insj wcs lv both compnt pg,5223,"$10,174.16 "
0518F,Fall plan of care docd,,
0518T,Rmvl pg wcs lv battery only,5221,"$3,741.62 "
0519F,Pland chemo docd b/4 txmnt,,
0519T,Rmv&rplcmt pg wcs lv both,5223,"$10,174.16 "
0520F,Rad dos limts b/4 3d rad,,
0520T,Rmv&rplcmt pg wcs lv battery,5223,"$10,174.16 "
0521F,Plan of care 4 pain docd,,
0521T,Interrog dev eval wcs ip,5731,$28.37 
0522T,Prgrmg dev eval wcs ip,5741,$35.93 
0523T,Ntrapx c ffr w/3d funcjl map,,
0524T,Ev cath dir chem abltj w/img,5183,"$3,037.01 "
0525F,Initial visit for episode,,
0525T,Insj/rplcmt compl iims,5223,"$10,174.16 "
0526F,Subs visit for episode,,
0526T,Insj/rplcmt iims eltrd only,5222,"$8,094.61 "
0527T,Insj/rplcmt iims implt mntr,5222,"$8,094.61 "
0528F,Rcmnd flw-up 10 yrs docd,,
0528T,Prgrmg dev eval iims ip,5741,$35.93 
0529F,Intrvl 3/>yr pts clnscp docd,,
0529T,Interrog dev eval iims ip,5741,$35.93 
0530T,Removal complete iims,5221,"$3,741.62 "
0531T,Removal iims electrode only,5221,"$3,741.62 "
0532T,Removal iims implt mntr only,5221,"$3,741.62 "
0535F,Dyspnea mngmnt plan docd,,
0537T,Bld drv t lymphcyt car-t cll,,
0538T,Bld drv t lymphcyt prep trns,,
0539T,Receipt&prep car-t cll admn,,
0540F,Gluco mngmnt plan docd,,
0540T,Car-t cll admn autologous,5694,$322.68 
0541T,Myocardial imaging mcg,5723,$510.68 
0542T,Myocardial imaging mcg i&r,,
0543T,Ta mv rpr w/artif chord tend,,
0544T,Tcat mv annulus rcnstj,,
0545F,Follow up care plan mdd docd,,
0545T,Tcat tv annulus rcnstj,,
0546T,Rf spectrsc ntraop mrgn asmt,,
0547T,B1 matrl qual tst mcrind tib,,
0550F,Cytopath report nongyn spcmn,,
0551F,Cytopath report non routine,,
0552T,Low-level laser therapy,,
0553T,Perq tcat iliac anast implt,,
0554T,B1 str & fx rsk analysis,,
0555F,Symptom mgmnt plan care docd,,
0555T,B1 str&fx rsk transmis data,5731,$28.37 
0556F,Plan care lipid control docd,,
0556T,B1 str & fx rsk assessment,5523,$233.47 
0557F,Plan caremng angnl symptdocd,,
0557T,B1 str & fx rsk i&r,,
0558T,Ct scan f/biomchn ct alys,5521,$86.58 
0559T,Antmc mdl 3d print 1st cmpnt,5733,$58.28 
0560T,Antmc mdl 3d print ea addl,,
0561T,Antmc guide 3d print 1st gd,5733,$58.28 
0562T,Antmc guide 3d print ea addl,,
0563T,Evac meibomian glnd heat bi,5733,$58.28 
0564T,Onc chemo rx cytotox csc 14,5671,$51.63 
0565T,Autol cell implt adps hrvg,,
0566T,Autol cell implt adps njx,,
0567T,Perm flp tube occls w/implt,,
0568T,Intro mix saline&air f/ssg,,
0569T,Ttvr perq appr 1st prosth,,
0570T,Ttvr perq ea addl prosth,,
0571T,Insj/rplcmt icds ss eltrd,5232,"$31,345.98 "
0572T,Insertion ss dfb electrode,5222,"$8,094.61 "
0573T,Removal ss dfb electrode,5221,"$3,741.62 "
0574T,Repos prev ss impl dfb eltrd,5221,"$3,741.62 "
0575F,Hiv rna plan care docd,,
0575T,Prgrmg dev eval icds ss ip,5741,$35.93 
0576T,Interrog dev eval icds ss ip,5741,$35.93 
0577T,Ephys eval icds ss,5211,"$1,133.95 "
0578T,Rem interrog dev icds phys,,
0579T,Rem interrog dev icds tech,5741,$35.93 
0580F,Multidisciplinary care plan,,
0580T,Rmvl ss impl dfb pg only,5221,"$3,741.62 "
0581F,Pt trnsfrd from anesth to cc,,
0581T,Abltj mal brst tum perq crtx,5091,"$3,631.79 "
0582F,No trnsfr from anesth to cc,,
0582T,Trurl abltj mal prst8 tiss,,
0583F,Transfer care checklist used,,
0583T,Tmpst auto tube dlvr sys,5163,"$1,453.05 "
0584F,No transfercare chklist used,,
0584T,Perq islet cell transplant,,
0585T,Laps islet cell transplant,,
0586T,Open islet cell transplant,,
0587T,Perq impltj/rplcmt isdns ptn,5462,"$6,516.28 "
0588T,Revision/removal isdns ptn,5461,"$3,241.90 "
0589T,Elec alys smpl prgrmg iins,5742,$92.23 
0590T,Elec alys cplx prgrmg iins,5742,$92.23 
0591T,Hlth&wb coaching indiv 1st,,
0592T,Hlth&wb coaching indiv f-up,,
0593T,Hlth&wb coaching group,,
0594T,Osteot hum xtrnl lngth dev,5114,"$6,816.33 "
0596T,Temp fml iu vlv-pmp 1st insj,5372,$650.86 
0597T,Temp fml iu valve-pmp rplcmt,5372,$650.86 
0598T,Ncntc r-t fluor wnd img 1st,5722,$299.06 
0599T,Ncntc r-t fluor wnd img ea,,
0600T,Ire abltj 1+tum organ perq,5362,"$9,807.76 "
0601T,Ire abltj 1+tumors open,5362,"$9,807.76 "
0602T,Transdermal gfr measurements,,
0603T,Transdermal gfr monitoring,,
0604T,Rem oct rta dev setup&educaj,5012,$125.95 
0605T,Rem oct rta techl sprt min 8,5741,$35.93 
0606T,Rem oct rta phys/qhp ea 30d,,
0607T,Rem mntr pulm flu mntr setup,,
0608T,Rem mntr pulm flu mntr alys,,
0609T,Mrs disc pain acquisj data,5523,$233.47 
0610T,Mrs disc pain transmis data,,
0611T,Mrs disc pain alg alys data,5523,$233.47 
0612T,Mrs discogenic pain i&r,,
0613T,Perq tcat intratrl septl sht,,
0614T,Rmvl&rplcmt ss impl dfb pg,5231,"$22,458.65 "
0615T,Eye mvmt alys w/o calbrj i&r,5734,$121.71 
0616T,Insertion of iris prosthesis,5496,"$16,530.39 "
0617T,Insj iris prosth w/rmvl&insj,5496,"$16,530.39 "
0618T,Insj iris prosth sec io lens,5496,"$16,530.39 "
0619T,Cysto w/prst8 commissurotomy,5376,"$8,777.41 "
0620T,Evasc ven artlz tibl/prnl vn,1578,"$27,500.50 "
0621T,Trabeculostomy interno laser,5492,"$3,873.90 "
0622T,Trabeculostomy int lsr w/scp,,
0623T,Auto quantification c plaque,,
0624T,Auto quan c plaq data prep,,
0625T,Auto quan c plaq cptr alys,1511,$950.50 
0626T,Auto quan c plaq i&r,,
0627T,Perq njx algc fluor lmbr 1st,5115,"$12,539.82 "
0628T,Perq njx algc fluor lmbr ea,,
0629T,Perq njx algc ct lmbr 1st,5115,"$12,539.82 "
0630T,Perq njx algc ct lmbr ea,,
0631T,Tc vis lit hyperspectral img,5731,$28.37 
0632T,Perq tcat us abltj nrv p-art,5194,"$16,707.31 "
0633T,Ct breast w/3d uni c-,5522,$104.75 
0634T,Ct breast w/3d uni c+,5571,$175.06 
0635T,Ct breast w/3d uni c-/c+,5571,$175.06 
0636T,Ct breast w/3d bi c-,5523,$233.47 
0637T,Ct breast w/3d bi c+,5572,$366.42 
0638T,Ct breast w/3d bi c-/c+,5572,$366.42 
0639T,Wrls skn snr anisotropy meas,,
0640T,Ncntc ifr spctrsc o/t pad 1,5732,$38.21 
0643T,Tcat l ventr rstrj dev implt,,
0644T,Tcat rmvl/dblk icar mas perq,5192,"$5,445.84 "
0645T,Tcat impltj c sins rdctj dev,5194,"$16,707.31 "
0646T,Ttvi/rplcmt w/prstc vlv perq,,
0647T,Insj gtube perq mag gastrpxy,5302,"$1,812.99 "
0648T,Quan mr tis wo mri 1orgn,1511,$950.50 
0649T,Quan mr tiss w/mri 1orgn,1511,$950.50 
0650T,Prgrmg dev eval scrms remote,5741,$35.93 
0651T,Mag ctrld capsule endoscopy,5301,$863.69 
0652T,Egd flx transnasal dx br/wa,5302,"$1,812.99 "
0653T,Egd flx transnasal bx 1/mlt,5302,"$1,812.99 "
0654T,Egd flx transnasal tube/cath,5303,"$3,648.96 "
0655T,Tprnl focal abltj mal prst8,5374,"$3,321.58 "
0656T,Vrt bdy tethering ant <7 seg,,
0657T,Vrt bdy tethering ant 8+ seg,,
0658T,Elec impd spectrsc 1+skn les,5733,$58.28 
0659T,Tcat intra-c nfs supersat o2,,
0660T,Implt ant sgm io nbio rx sys,,
0661T,Rmvl&rimpltj ant sgm implt,,
0662T,Scalp cool 1st meas&calbrj,1514,"$1,250.50 "
0663T,Scalp cool plmt mntr rmvl,,
0664T,Don hysterectomy open cdvr,,
0665T,Don hysterectomy open liv,,
0666T,Don hysterectomy laps liv,,
0667T,Don hysterectomy rcp uter,,
0668T,Bkbench prep don uter algrft,,
0669T,Bkbench rcnstj don uter ven,,
0670T,Bkbench rcnstj don uter artl,,
0671T,Insj ant sgm aq drg dev 1+,5493,"$4,979.80 "
0672T,Ndovag cryg rf remdl tiss,,
0673T,Abltj b9 thyr ndul perq lasr,5072,"$1,544.75 "
0674T,Laps insj nw/rpcmt prm isdss,,
0675T,Laps insj nw/rpcmt isdss 1ld,,
0676T,Laps insj nw/rpcmt isdss ea,,
0677T,Laps repos lead isdss 1st ld,,
0678T,Laps repos lead isdss ea add,,
0679T,Laps rmvl lead isdss,,
0680T,Insj/rplcmt pg only isdss,,
0681T,Rlcj pulse gen only isdss,,
0682T,Removal pulse gen only isdss,,
0683T,Prgrmg dev eval isdss ip,,
0684T,Peri-px dev eval isdss ip,,
0685T,Interrog dev eval isdss ip,,
0686T,Histotripsy mal hepatcel tis,1576,"$17,500.50 "
0687T,Tx amblyopia dev setup 1st,,
0688T,Tx amblyopia assmt w/report,,
0689T,Quan us tis charac w/o dx us,5521,$86.58 
0690T,Quan us tis charac w/dx us,,
0691T,Auto alys xst ct std vrt fx,,
0692T,Therapeutic ultrafiltration,5241,$413.61 
0693T,Compre ful bdy 3d mtn alys,1505,$350.50 
0694T,3d vol img&rcnstj brst/ax,,
0695T,Bdy srf mpg pm/cvdfb tm impl,,
0696T,Bdy surf mapg pm/cvdfb f/up,5741,$35.93 
0697T,Quan mr tis wo mri mlt orgn,1511,$950.50 
0698T,Quan mr tiss w/mri mlt orgn,1511,$950.50 
0699T,Njx pst chmbr eye medication,5491,"$2,220.35 "
0700T,Molec fluor img sus nev 1st,,
0701T,Molec fluor img sus nev ea,,
0704T,Rem tx amblyopia setup&edu,,
0705T,Rem tx amblyopia tech sprt,,
0706T,Rem tx amblyopia i&r phy/qhp,,
0707T,Njx b1 sub mtrl sbchdrl dfct,5113,"$3,084.03 "
0708T,Id ca immntx prep & 1st njx,,
0709T,Id ca immntx each addl njx,,
0710T,N-invas artl plaq alys,,
0711T,N-nvs artl plaq alys dat prp,,
0712T,N-nvs artl plaq alys quan,5521,$86.58 
0713T,N-nvs artl plaq alys rvw i&r,,
0714T,Tprnl lsr ablt b9 prst8 hypr,5375,"$4,930.08 "
0716T,Car acous wavfrm rec cad rsk,5733,$58.28 
0717T,Adrc ther prtl rc tear,5055,"$3,418.26 "
0718T,Adrc ther prtl rc tear njx,5055,"$3,418.26 "
0719T,Pst vrt jt rplcmt lmbr 1 sgm,,
0720T,Prq elc nrv stim cn wo implt,5724,$996.18 
0721T,Quan ct tiss charac w/o ct,1508,$650.50 
0722T,Quan ct tiss charac w/ct,1508,$650.50 
0723T,Qmrcp w/o dx mri sm anat ses,1511,$950.50 
0724T,Qmrcp w/dx mri same anatomy,1511,$950.50 
0725T,Vestibular dev impltj uni,,
0726T,Rmvl implt vstibular dev uni,,
0727T,Rmvl&rplcmt implt vstblr dev,,
0728T,Dx alys vstblr implt uni 1st,,
0729T,Dx alys vstblr implt uni sbq,,
0730T,Trabeculotomy lsr w/oct gdn,,
0731T,Augmnt ai-based fcl phnt a/r,5733,$58.28 
0732T,Immntx admn electroporatn im,,
0733T,Rem r-t mtn nrehab ther sply,5741,$35.93 
0734T,Rem r-t mtn nrehab tx mgmt,,
0735T,Prep tum cav iort prim crnot,,
0736T ,Colonic lavage 35+l water    ,5721,$148.83 
0737T,Xenograft impltj artclr surf,,
0738T,Tx pln mag fld abltj prst8,,
0739T,Abltj mal prst8 mag fld ndct,,
0740T,Rem auton alg nsln cal setup,5733,$58.28 
0741T,Rem auton alg nsln data coll,5741,$35.93 
0742T,Aqmbf spect xers/strs & rest,,
0743T,B1 str & fx rsk vrt fx assmt,,
0744T,Insj bioprostc vlv fem vn,5184,"$5,235.92 "
0745T,Car ablt rad arr n-invas loc,,
0746T,Car ablt rad arr cnv loc map,,
0747T,Car ablt rad arrhyt dlvr rad,,
0748T,Njx stm cl prdct anl sft tis,,
0749T,B1 str&fx rsk assmt dxr-bmd,,
0750T,B1 str&fx rsk asmt dxrbmd1vw,,
0751T,Dgtz gls mcrscp sld level ii,,
0752T,Dgtz gls mcrscp sld lvl iii,,
0753T,Dgtz gls mcrscp sld level iv,,
0754T,Dgtz gls mcrscp sld level v,,
0755T,Dgtz gls mcrscp sld level vi,,
0756T,Dgtz gls mcrscp sld spc grpi,,
0757T,Dgtz gls mcrscp sl spc grpii,,
0758T,Dgtz gls mcrscp sl spc hchem,,
0759T,Dgtz gls mcrscp sl sp grpiii,,
0760T,Dgtz gls mcrscp sl imm 1st,,
0761T,Dgtz gls mcrscp sl imm ea 1,,
0762T,Dgtz gls mcrscp sl imm ea m,,
0763T,Dgtz gls mcrscp mphmtrc alys,,
0764T,Asstv alg ecg rsk asmt cncrt,,
0765T,Asstv alg ecg rsk asmt prev,,
0766T,Tc mag stimj pn 1st nerve,5721,$148.83 
0767T,Tc mag stimj pn ea addl nrv,,
0770T,Vr technology assist therapy,,
0771T,Vr px dissoc svc sm phy 1st,,
0772T,Vr px dissoc svc sm phy ea,,
0773T,Vr px dissoc svc oth phy 1st,,
0774T,Vr px dissoc svc oth phy ea,,
0776T,Ther indctj ntrabrn hypthrm,,
0777T,R-t prs sensing edrl gdn sys,,
0778T,Smmg cncrnt appl imu snr,5721,$148.83 
0779T,Gi myoelectrical actv study,5723,$510.68 
0780T,Instlj fecal microbiota ssp,5734,$121.71 
0781T,Brnchsc rf dstrj pulm nrv bi,,
0782T,Brnchsc rf dstrj plm nrv uni,,
0783T,Tc auriculr neurostimulation,5721,$148.83 
0784T,Ins/rplmt eltrd ra spi nstim,5463,"$12,978.95 "
0785T,Revj/rmvl nea spi w/nstim,5461,"$3,241.90 "
0786T,Insj/rplcmt prq ra sac nstim,5463,"$12,978.95 "
0787T,Revj/rmvl nea sac w/nstim,5461,"$3,241.90 "
0788T,Elec aly smp iins sp/sac nrv,5742,$92.23 
0789T,Elec aly cpx iins sp/sac nrv,5742,$92.23 
0790T,Revj rplcmt/rmvl vrt tethrg,,
0791T,Motr cog vr gait train ea 15,,
0792T,Appl slvr diamn fluoride 38%,,
0793T,Prq tcat thrm ablt nrv p-art,5194,"$16,707.31 "
0794T,Pt spec alg rx-onc tx option,5733,$58.28 
0795T,Tcat ins 2chmbr ldls pm cmpl,5224,"$18,565.35 "
0796T,Tcat ins 2chmbr ldls pm ra,5224,"$18,565.35 "
0797T,Tcat ins 2chmbr ldls pm rv,5224,"$18,565.35 "
0798T,Tcat rmv 2chmbr ldls pm cmpl,5183,"$3,037.01 "
0799T,Tcat rmvl 2chmbr ldls pm ra,5183,"$3,037.01 "
0800T,Tcat rmvl 2chmbr ldls pm rv,5183,"$3,037.01 "
0801T,Tcat rmv&rpl 2chmbr ldls pm,5224,"$18,565.35 "
0802T,Tcat rmv&rpl2chmb ldls pm ra,5224,"$18,565.35 "
0803T,Tcat rmv&rpl2chmb ldls pm rv,5224,"$18,565.35 "
0804T,Prgrmg evl ldls pm 2chmbr ip,5741,$35.93 
0805T,Tcat s&ivc prstc vl impl prq,,
0806T,Tcat s&ivc prstc vl impl opn,,
0807T,Pulm tiss vntj alys prev ct,5722,$299.06 
0808T,Pulm tiss vntj alys w/ct,5722,$299.06 
0810T,Subrta njx rx agt w/vtrc,1563,"$4,250.50 "
0811T,Rem mlt day uroflow setup,5012,$125.95 
0812T,Rem mlt day uroflow dev sply,5741,$35.93 
0813T,Egd vol adjmt bariatric balo,5301,$863.69 
0814T,Prq njx biod osteo matrl fem,,
0815T,Us rems b1 dns hips plvs/spi,,
0816T,Opn insj/rplcmt ins ptn subq,5464,"$20,842.84 "
0817T,Opn insj/rplcmt ins ptn subf,5464,"$20,842.84 "
0818T,Revj/rmvl ins ptn subq,5461,"$3,241.90 "
0819T,Revj/rmvl ins ptn subf,5461,"$3,241.90 "
0820T,Mntr psychdlc med 1stphy/qhp,,
0821T,Mntr psychdlc med 2ndphy/qhp,,
